# step x_1 x_2 x_3 x_4 x_5
1 0.1433703203 0.1433703203 0.8602367942 0.9859948047 0.9859948047
2 0.1403429690 0.1403429690 0.8495722506 1.0914569522 1.0914569522
3 0.1417514191 0.1417514191 0.8349913816 1.1319981688 1.1319981688
4 0.1440532048 0.1440532048 0.8226372680 1.1392396433 1.1392396433
5 0.1457379416 0.1457379416 0.8187455591 1.1368469238 1.1368469238
6 0.1463336807 0.1463336807 0.8182318776 1.1350244070 1.1350244070
7 0.1452062435 0.1452062436 0.8173386548 1.1348650705 1.1348650705
8 0.1408521005 0.1408521005 0.8146826883 1.1368354140 1.1368354140
9 0.1297410287 0.1297410289 0.8107208103 1.1430036863 1.1430036865
10 0.1049428609 0.1049428617 0.8124454186 1.1620063684 1.1620063689
11 0.0597130640 0.0597130669 0.8674394314 1.2328120740 1.2328120756
12 0.0132939017 0.0132939132 1.1974442005 1.2493682901 1.2928934815
13 0.0004204969 0.0004205430 1.1789551387 1.1804529880 1.1804530099
14 0.0000330685 0.0000332577 1.3196610437 1.3196626868 1.3196672736
15 0.0005259765 0.0005483483 1.3995570387 1.4016940574 1.4188461952
